TrendDate,speed,load,pressure,temp1,temp2,temp3,temp4
2026-04-28 11:19:00+00,90.30000305,60.59999847,253.1000061,174.8000031,175,175.1000061,174.3000031
2026-04-28 11:21:00+00,91.80000305,60.29999924,252.5,175.1000061,174.8999939,175,174.3000031
2026-04-28 11:22:00+00,90.90000153,60.59999847,251.1999969,175.1000061,174.8999939,175,174.5
2026-04-28 11:23:00+00,95.69999695,61.5,250.8000031,175,175,175,175
2026-04-28 11:24:00+00,93.09999847,60.70000076,251.8000031,175.1999969,175.1999969,175,175.3000031
2026-04-28 11:25:00+00,94.90000153,60.70000076,252.8000031,175.1999969,175.1999969,175,175.3999939
2026-04-28 11:26:00+00,91.19999695,60.59999847,254,175,175.1000061,175,174.8999939
2026-04-28 11:27:00+00,92.90000153,61.09999847,253.8999939,175.1000061,175,175,174.6000061
2026-04-28 11:28:00+00,95.30000305,62.29999924,252.6999969,175.1000061,175.1000061,175,174.6999969
2026-04-28 11:29:00+00,91.90000153,61.09999847,251.5,175.1000061,175.1000061,175,174.6999969
2026-04-28 11:30:00+00,92.80000305,60.20000076,250.6000061,175.3000031,175,175,174.6000061
2026-04-28 11:31:00+00,95,60.40000153,252,174.8999939,175,175,174.6000061
2026-04-28 11:32:00+00,91.5,60.79999924,253.8999939,174.8000031,175,175,174.6000061
2026-04-28 11:33:00+00,93.80000305,60.59999847,254.3000031,174.8999939,175,175,174.6999969
2026-04-28 11:35:00+00,97.30000305,61.09999847,252.8000031,175,174.8999939,175,174.6000061
2026-04-28 11:36:00+00,92.69999695,60.90000153,252.1000061,175.1999969,174.8999939,175.1000061,174.6000061
2026-04-28 11:37:00+00,92.5,61.90000153,252.1000061,175.1999969,174.8000031,175,174.8000031
2026-04-28 11:38:00+00,94.69999695,61.09999847,253.5,175,174.8999939,175.1000061,174.8000031
2026-04-28 11:41:00+00,90.30000305,61.09999847,255.3000031,175,174.6999969,175,174.8000031
2026-04-28 11:43:00+00,94.59999847,61.09999847,252.5,175.1999969,174.8000031,175,174.8999939
2026-04-28 11:44:00+00,91.59999847,60.40000153,253.8000031,174.8999939,175,175,174.8000031
